X.1,AGS,Gemeinde,Land,Fallzahl,Stand,bvlkg_2019,cx,cy,RateZT,RateHT,Erstellt_um
1,07111000,Koblenz (kreisfreie Stadt),7,8,2020-03-15 11:00:00,114024,7.570212,50.36019,0.7,7,2020-03-16 12:00:07
2,07131000,Ahrweiler,7,3,2020-03-15 11:00:00,129727,7.07017,50.49524,0.2,2.3,2020-03-16 12:00:07
3,07132000,Altenkirchen (Westerwald),7,2,2020-03-15 11:00:00,128705,7.839916,50.79483,0.2,1.6,2020-03-16 12:00:07
4,07133000,Bad Kreuznach,7,13,2020-03-15 11:00:00,158080,7.657812,49.81823,0.8,8.2,2020-03-16 12:00:07
5,07134000,Birkenfeld,7,0,2020-03-15 11:00:00,80720,7.281271,49.7158,0,0,2020-03-16 12:00:07
6,07135000,Cochem-Zell,7,6,2020-03-15 11:00:00,61587,7.178459,50.14493,1,9.7,2020-03-16 12:00:07
7,07137000,Mayen-Koblenz,7,13,2020-03-15 11:00:00,214259,7.366505,50.33866,0.6,6.1,2020-03-16 12:00:07
8,07138000,Neuwied,7,10,2020-03-15 11:00:00,181941,7.403585,50.53519,0.5,5.5,2020-03-16 12:00:07
9,07140000,Rhein-Hunsrück-Kreis,7,14,2020-03-15 11:00:00,102937,7.500203,50.04624,1.4,13.6,2020-03-16 12:00:07
10,07141000,Rhein-Lahn-Kreis,7,6,2020-03-15 11:00:00,122308,7.793642,50.2434,0.5,4.9,2020-03-16 12:00:07
11,07143000,Westerwaldkreis,7,11,2020-03-15 11:00:00,201597,7.846595,50.54133,0.5,5.5,2020-03-16 12:00:07
12,07211000,Trier (kreisfreie Stadt),7,3,2020-03-15 11:00:00,110636,6.653437,49.7482,0.3,2.7,2020-03-16 12:00:07
13,07231000,Bernkastel-Wittlich,7,4,2020-03-15 11:00:00,112262,7.015531,49.93051,0.4,3.6,2020-03-16 12:00:07
14,07232000,Eifelkreis Bitburg-Prüm,7,12,2020-03-15 11:00:00,98561,6.385168,50.06023,1.2,12.2,2020-03-16 12:00:07
15,07233000,Vulkaneifel,7,3,2020-03-15 11:00:00,60603,6.743509,50.22864,0.5,5,2020-03-16 12:00:07
16,07235000,Trier-Saarburg,7,0,2020-03-15 11:00:00,148945,6.832128,49.69098,0,0,2020-03-16 12:00:07
17,07311000,Frankenthal (Pfalz) (kreisfreie Stadt),7,1,2020-03-15 11:00:00,48561,8.347923,49.52536,0.2,2.1,2020-03-16 12:00:07
18,07312000,Kaiserslautern (kreisfreie Stadt),7,6,2020-03-15 11:00:00,99845,7.752686,49.43566,0.6,6,2020-03-16 12:00:07
19,07313000,Landau in der Pfalz (kreisfreie Stadt),7,0,2020-03-15 11:00:00,46677,8.111519,49.20292,0,0,2020-03-16 12:00:07
20,07314000,Ludwigshafen am Rhein (kreisfreie Stadt),7,1,2020-03-15 11:00:00,171061,8.404125,49.47859,0.1,0.6,2020-03-16 12:00:07
21,07315000,Mainz (kreisfreie Stadt),7,17,2020-03-15 11:00:00,217118,8.234434,49.98863,0.8,7.8,2020-03-16 12:00:07
22,07316000,Neustadt an der Weinstraße (kreisfreie Stadt),7,1,2020-03-15 11:00:00,53148,8.154843,49.35283,0.2,1.9,2020-03-16 12:00:07
23,07317000,Pirmasens (kreisfreie Stadt),7,0,2020-03-15 11:00:00,40403,7.579978,49.2029,0,0,2020-03-16 12:00:07
24,07318000,Speyer (kreisfreie Stadt),7,2,2020-03-15 11:00:00,50378,8.429306,49.33034,0.4,4,2020-03-16 12:00:07
25,07319000,Worms (kreisfreie Stadt),7,0,2020-03-15 11:00:00,83330,8.322668,49.64386,0,0,2020-03-16 12:00:07
26,07320000,Zweibrücken (kreisfreie Stadt),7,0,2020-03-15 11:00:00,34209,7.373513,49.24646,0,0,2020-03-16 12:00:07
27,07331000,Alzey-Worms,7,8,2020-03-15 11:00:00,129244,8.109496,49.78882,0.6,6.2,2020-03-16 12:00:07
28,07332000,Bad Dürkheim,7,15,2020-03-15 11:00:00,132660,8.155013,49.48546,1.1,11.3,2020-03-16 12:00:07
29,07333000,Donnersbergkreis,7,2,2020-03-15 11:00:00,75101,7.864106,49.64187,0.3,2.7,2020-03-16 12:00:07
30,07334000,Germersheim,7,4,2020-03-15 11:00:00,129075,8.169007,49.05307,0.3,3.1,2020-03-16 12:00:07
31,07335000,Kaiserslautern,7,3,2020-03-15 11:00:00,106057,7.553514,49.44714,0.3,2.8,2020-03-16 12:00:07
32,07336000,Kusel,7,13,2020-03-15 11:00:00,70526,7.551707,49.60446,1.8,18.4,2020-03-16 12:00:07
33,07337000,Südliche Weinstraße,7,1,2020-03-15 11:00:00,110356,7.990985,49.09917,0.1,0.9,2020-03-16 12:00:07
34,07338000,Rhein-Pfalz-Kreis,7,1,2020-03-15 11:00:00,154201,8.346728,49.39712,0.1,0.6,2020-03-16 12:00:07
35,07339000,Mainz-Bingen,7,17,2020-03-15 11:00:00,210889,8.07356,49.9468,0.8,8.1,2020-03-16 12:00:07
36,07340000,Südwestpfalz,7,0,2020-03-15 11:00:00,95113,7.749804,49.15439,0,0,2020-03-16 12:00:07
37,08111000,Stuttgart (Stadtkreis),8,60,2020-03-15 15:00:00,634830,9.172051,48.77677,0.9,9.5,2020-03-16 12:00:07
38,08115000,Böblingen,8,9,2020-03-15 15:00:00,391640,8.963852,48.68104,0.2,2.3,2020-03-16 12:00:07
39,08116000,Esslingen,8,111,2020-03-15 15:00:00,533859,9.386777,48.65992,2.1,20.8,2020-03-16 12:00:07
40,08117000,Göppingen,8,16,2020-03-15 15:00:00,257253,9.692335,48.65604,0.6,6.2,2020-03-16 12:00:07
41,08118000,Ludwigsburg,8,38,2020-03-15 15:00:00,543984,9.097359,48.94152,0.7,7,2020-03-16 12:00:07
42,08119000,Rems-Murr-Kreis,8,23,2020-03-15 15:00:00,426158,9.504931,48.90458,0.5,5.4,2020-03-16 12:00:07
43,08121000,Heilbronn (Stadtkreis),8,4,2020-03-15 15:00:00,125960,9.195245,49.14809,0.3,3.2,2020-03-16 12:00:07
44,08125000,Heilbronn,8,47,2020-03-15 15:00:00,343068,9.333205,49.26194,1.4,13.7,2020-03-16 12:00:07
45,08126000,Hohenlohekreis,8,29,2020-03-15 15:00:00,112010,9.63575,49.28361,2.6,25.9,2020-03-16 12:00:07
46,08127000,Schwäbisch Hall,8,21,2020-03-15 15:00:00,195861,9.915306,49.16723,1.1,10.7,2020-03-16 12:00:07
47,08128000,Main-Tauber-Kreis,8,31,2020-03-15 15:00:00,132321,9.682629,49.5647,2.3,23.4,2020-03-16 12:00:07
48,08135000,Heidenheim,8,21,2020-03-15 15:00:00,132472,10.134395,48.66243,1.6,15.9,2020-03-16 12:00:07
49,08136000,Ostalbkreis,8,31,2020-03-15 15:00:00,314002,10.119083,48.90489,1,9.9,2020-03-16 12:00:07
50,08211000,Baden-Baden (Stadtkreis),8,5,2020-03-15 15:00:00,55123,8.248205,48.75315,0.9,9.1,2020-03-16 12:00:07
51,08212000,Karlsruhe (Stadtkreis),8,14,2020-03-15 15:00:00,313092,8.413012,49.0139,0.4,4.5,2020-03-16 12:00:07
52,08215000,Karlsruhe,8,29,2020-03-15 15:00:00,444232,8.610629,49.11568,0.7,6.5,2020-03-16 12:00:07
53,08216000,Rastatt,8,26,2020-03-15 15:00:00,231018,8.221457,48.8948,1.1,11.3,2020-03-16 12:00:07
54,08221000,Heidelberg (Stadtkreis),8,3,2020-03-15 15:00:00,160355,8.692423,49.40106,0.2,1.9,2020-03-16 12:00:07
55,08222000,Mannheim (Stadtkreis),8,27,2020-03-15 15:00:00,309370,8.501899,49.5002,0.9,8.7,2020-03-16 12:00:07
56,08225000,Neckar-Odenwald-Kreis,8,10,2020-03-15 15:00:00,143535,9.363464,49.51196,0.7,7,2020-03-16 12:00:07
57,08226000,Rhein-Neckar-Kreis,8,38,2020-03-15 15:00:00,547625,8.814673,49.29937,0.7,6.9,2020-03-16 12:00:07
58,08231000,Pforzheim (Stadtkreis),8,4,2020-03-15 15:00:00,125542,8.71106,48.87875,0.3,3.2,2020-03-16 12:00:07
59,08235000,Calw,8,34,2020-03-15 15:00:00,158397,8.63968,48.68342,2.1,21.5,2020-03-16 12:00:07
60,08236000,Enzkreis,8,3,2020-03-15 15:00:00,198905,8.833841,48.96128,0.2,1.5,2020-03-16 12:00:07
61,08237000,Freudenstadt,8,7,2020-03-15 15:00:00,117935,8.439107,48.49429,0.6,5.9,2020-03-16 12:00:07
62,08311000,Freiburg im Breisgau (Stadtkreis),8,43,2020-03-15 15:00:00,230241,7.820164,48.00848,1.9,18.7,2020-03-16 12:00:07
63,08315000,Breisgau-Hochschwarzwald,8,42,2020-03-15 15:00:00,262795,8.038523,47.95562,1.6,16,2020-03-16 12:00:07
64,08316000,Emmendingen,8,35,2020-03-15 15:00:00,165383,7.867537,48.1407,2.1,21.2,2020-03-16 12:00:07
65,08317000,Ortenaukreis,8,25,2020-03-15 15:00:00,429479,8.011236,48.44228,0.6,5.8,2020-03-16 12:00:07
66,08325000,Rottweil,8,3,2020-03-15 15:00:00,139455,8.548633,48.24676,0.2,2.2,2020-03-16 12:00:07
67,08326000,Schwarzwald-Baar-Kreis,8,6,2020-03-15 15:00:00,212381,8.452924,48.02816,0.3,2.8,2020-03-16 12:00:07
