Name,LGL-Name,Typ,Lat,Long,Einwohner,Corona-Fälle,Stand
Aichach-Friedberg,Aichach-Friedberg,Landkreis,48.453409,11.082892,133596,0,12.03.2020
Altötting,Altötting,Landkreis,48.225938,12.675712,111210,null,12.03.2020
Amberg,Amberg Stadt,Stadt,49.4523238032009,11.8403362215409,41970,1,12.03.2020
Amberg-Sulzbach,Amberg-Sulzbach,Landkreis,49.5623855918672,11.7093625743081,103109,7,12.03.2020
Ansbach,Ansbach Stadt,Stadt,49.2917917440462,10.5691214101633,41847,null,12.03.2020
Ansbach,Ansbach,Landkreis,49.1877007720799,10.3811694046684,183949,null,12.03.2020
Aschaffenburg,Aschaffenburg Stadt,Stadt,49.9555682275557,9.15922861936277,70527,6,12.03.2020
Aschaffenburg,Aschaffenburg,Landkreis,50.0298632010399,9.29020226659561,174208,3,12.03.2020
Augsburg,Augsburg Stadt,Stadt,48.3493839375923,10.8923259074874,295135,6,12.03.2020
Augsburg,Augsburg,Landkreis,48.379474,10.687782,251534,25,12.03.2020
Bad Kissingen,Bad Kissingen,Landkreis,50.2126336060404,9.92966183837948,103218,3,12.03.2020
Bad Tölz-Wolfratshausen,Bad Tölz-Wolfratshausen,Landkreis,47.7414335829133,11.5164123353478,127227,10,12.03.2020
Bamberg,Bamberg Stadt,Stadt,49.895431,10.897137,77592,1,12.03.2020
Bamberg,Bamberg,Landkreis,49.93985,11.087137,147086,7,12.03.2020
Bayreuth,Bayreuth Stadt,Stadt,49.945412,11.584207,74657,null,12.03.2020
Bayreuth,Bayreuth,Landkreis,49.8066338070837,11.4936412729834,103656,5,12.03.2020
Berchtesgadener Land,Berchtesgadener Land,Landkreis,47.6454174066272,12.9310082384982,105722,null,12.03.2020
Cham,Cham,Landkreis,49.2304138987159,12.6694863068233,127882,21,12.03.2020
Coburg,Coburg Stadt,Stadt,50.258998,10.961291,41249,null,12.03.2020
Coburg,Coburg,Landkreis,50.3455664077374,10.8387730368192,86906,3,12.03.2020
Dachau,Dachau,Landkreis,48.3226938092016,11.3626676257505,153884,0,12.03.2020
Deggendorf,Deggendorf,Landkreis,48.7859588519353,13.0023324016822,119326,1,12.03.2020
Dillingen an der Donau,Dillingen an der Donau,Landkreis,48.589769967296,10.5416487718325,96021,null,12.03.2020
Dingolfing-Landau,Dingolfing-Landau,Landkreis,48.6393237292882,12.6338824371281,96217,13,12.03.2020
Donau-Ries,Donau-Ries,Landkreis,48.8172781562418,10.7199591797926,133496,3,12.03.2020
Ebersberg,Ebersberg,Landkreis,48.075524,11.965774,142142,21,12.03.2020
Eichstätt,Eichstätt,Landkreis,48.9134888352785,11.3780762901309,132341,2,12.03.2020
Erding,Erding,Landkreis,48.3124470265105,12.0175358619147,137660,11,12.03.2020
Erlangen,Erlangen Stadt,Stadt,49.582771,10.991866,111962,6,12.03.2020
Erlangen-Höchstadt,Erlangen-Höchstadt,Landkreis,49.688893,10.861415,136271,10,12.03.2020
Forchheim,Forchheim,Landkreis,49.721727,11.06568,116099,4,12.03.2020
Freising,Freising,Landkreis,48.4454947006442,11.7478842352589,179116,74,12.03.2020
Freyung-Grafenau,Freyung-Grafenau,Landkreis,48.811368,13.54415,78355,null,12.03.2020
Fürstenfeldbruck,Fürstenfeldbruck,Landkreis,48.1893250777071,11.2085809819472,219320,18,12.03.2020
Fürth,Fürth Stadt,Stadt,49.4873703225354,10.969746684052,127748,8,12.03.2020
Fürth,Fürth,Landkreis,49.4372961904926,10.8464773690094,117387,3,12.03.2020
